"1","군산시 나운동","웅진씽크빅 군산서부지국센터교사, 재택영어화상교사,방문교사 구합니다","14:00~19:00","월급2,000,000","49분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","위촉직(프리랜서)","1명","1년이상","월, 수, 목요일 (요일협의가능)","2019년 5월 8일(수) ~ 2019년 5월 28일(화)","전북 군산시 백토로 114<U+00A0>(광명빌딩)4층<U+00A0>전북 군산시 나운동"
"1","전주시 전체","돈걱정 그만 / 행복은 돈으로 부터[月평균급여 500만] 아직도 돈걱정만 하고 계신가요 / 이젠 ","08:00~18:00","월급4,500,000","49분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 59세(1961년생) 고연령자 가능 미성년자 불가","학력무관","계약직, 파견직","2명","1년이상 (수습기간있음)","월~토","2019년 5월 8일(수) ~ 2019년 5월 15일(수)
D-DAY 6 ","전북 전주시 완산구 노송광장로 10<U+00A0>초보/여성/외국인/동반지원가능<U+00A0>전북 전주시 완산구 전체"
"1","전주시 전체","(주)현대렌탈케어 전주지국정수기 필터교체 매니저 모집 (초보환영)","09:00~18:00","월급2,500,000","50분전","무관(신입+경력)","성별무관","30세(1990년생) ~ 49세(1971년생) 미성년자 불가","학력무관","위촉직(프리랜서)","2명","1년이상 (기간협의가능)","주5일","2019년 5월 8일(수) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 전주시 덕진구 동부대로 375<U+00A0>1층 현대렌탈케어<U+00A0>전북 전주시 덕진구 전체"
"1","군산시 전체","군산휠라군산휠라에서 직원을 모집합니다","10:30~09:30","월급1,800,000","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","0명 (10명 미만)","1년이상 (기간협의가능)","주6일 (요일협의가능 : 평일1회휴무)","2019년 5월 9일(목) ~ 상시모집","전북 군산시 수송북로 7<U+00A0>(수송동)<U+00A0>전북 군산시 전체"
"1","김제시 검산동","담소 김제검산담소사골순대 평일 저녁 구합니다문자로 이력 주세요.","00:00~01:00","시급8,350","51분전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","3개월~6개월 (기간협의가능)","월, 화, 수, 목, 금요일 (요일협의가능)","2019년 5월 7일(화) ~ 상시모집","전북 김제시 검산택지5길 127<U+00A0>담소사골순대<U+00A0>전북 김제시 검산동"
"1","정읍시 전체","한솔교육 정읍지점한솔교육 정읍지점 인턴교사 채용(4대보험및 퇴직금 지급,타","16:00~21:00","월급2,000,000","52분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직, 인턴직","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 정읍시 남북로 34<U+00A0>(수성동) 성림빌딩 3층<U+00A0>전북 정읍시 전체"
"1","고창군 고창읍","한솔교육 정읍,고창지점한솔교육 고창지점 인턴교사 채용(4대보험, 퇴직금 지급, 정","16:00~21:00","월급2,000,000","53분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직, 인턴직","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 고창군,읍 중앙로<U+00A0>한솔교육<U+00A0>전북 고창군 고창읍"
"1","남원시 전체","한솔교육 남원지점한솔교육 남원지점 교사 채용(어린이집,유치원,학원,동종업계","16:00~21:00","월급2,000,000","54분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 49세(1971년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 남원시 남문로 460<U+00A0>제일빌딩 4층 한솔교육<U+00A0>전북 남원시 전체"
"1","장수군 전체","한솔교육 남원지점한솔교육 장수지역 선생님 채용(어린이집,유치원,학원,동종업","16:00~21:00","월급2,000,000","54분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","학력무관","계약직","1명","1년이상","월~금","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 장수군 장계리 금곡리<U+00A0><U+00A0>전북 장수군 전체"
"1","장수군 장계면","한솔교육 남원지점한솔교육 장계지역 선생님 채용(어린이집,유치원,학원,동종업","16:00~21:00","월급2,000,000","55분전","무관(신입+경력)","성별무관","21세(1999년생) ~ 50세(1970년생) 미성년자 불가","대학(2,3년)졸업 이상","계약직","1명","1년이상","월~금 (요일협의가능)","2019년 5월 7일(화) ~ 2019년 5월 13일(월)
D-DAY 4 ","전북 장수군 장계면 장계리<U+00A0>장계리<U+00A0>전북 장수군 장계면"
"1","전주시 송천동2","세븐일레븐 전주송천주공점송천주공점(금.토.일오전9시~오후9시까지)에서 성실히 일할 ","09:00~21:00","시급8,350","57분전","무관(신입+경력)","성별무관","24세(1996년생) ~ 45세(1975년생) 미성년자 불가","학력무관","아르바이트","1명","6개월~1년","주3일","2019년 5월 6일(월) ~ 상시모집","전북 전주시 덕진구 붓내3길 28<U+00A0>세븐일레븐 편의점<U+00A0>전북 전주시 덕진구 송천동2가"
"1","군산시 수송동","어반트리독서실 군산수송점어반트리 독서실 군산수송점 총무 급구","10:00~02:00","건별300,000","1시간전","무관(신입+경력)","성별무관","연령무관 ","학력무관","아르바이트","1명","6개월~1년","월~일","2019년 5월 9일(목) ~ 상시모집","전북 군산시 수송로 207<U+00A0>(수송동) 미성빌딩 3층<U+00A0>전북 군산시 수송동"
